measure_id,measure_name,location_id,location_name,country_id,sex_id,sex_name,age_group_id,age_group_name,year_id,rei_id,pathogen,categoria,metric_id,metric,value,lower,upper
6,Incidence,69,Singapore,SGP,3,Both,22,All Ages,2021,190,Respiratory syncytial virus,,2,Percent,0.000343327,3.74E-05,0.001208735
6,Incidence,82,Greece,GRC,3,Both,1,Under 5,2021,187,Influenza,,2,Percent,0.000343437,6.52E-05,0.001061937
1,Deaths,51,Poland,POL,3,Both,22,All Ages,2021,190,Respiratory syncytial virus,,2,Percent,0.000344078,3.66E-05,0.001183044
6,Incidence,95,United Kingdom,GBR,3,Both,22,All Ages,2021,426,Polymicrobial,,2,Percent,0.000345539,0.00019775,0.000578691
6,Incidence,53,Serbia,SRB,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.000345775,0.000132297,0.000735811
6,Incidence,95,United Kingdom,GBR,3,Both,25,50-69 years,2021,426,Polymicrobial,,2,Percent,0.000346135,0.000197124,0.00057412
1,Deaths,369,Nauru,NRU,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,1,Number,0.000346147,0.000151334,0.000628686
6,Incidence,59,Latvia,LVA,3,Both,22,All Ages,2021,190,Respiratory syncytial virus,,2,Percent,0.00034646,1.41E-05,0.001785474
6,Incidence,43,Albania,ALB,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000347207,0.000130245,0.000743396
1,Deaths,380,Palau,PLW,3,Both,23,5-14 years,2021,187,Influenza,,1,Number,0.000347371,0.000168858,0.000601987
1,Deaths,105,Antigua and Barbuda,ATG,3,Both,23,5-14 years,2020,426,Polymicrobial,,1,Number,0.000347406,0.000213428,0.000535552
6,Incidence,121,Bolivia (Plurinational State of),BOL,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.000347934,7.48E-05,0.000845963
1,Deaths,48,Hungary,HUN,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000348662,0.000130133,0.000749251
1,Deaths,48,Hungary,HUN,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000348662,0.000130133,0.000749251
6,Incidence,95,United Kingdom,GBR,3,Both,23,5-14 years,2021,414,Acinetobacter baumannii,,2,Percent,0.000348674,0.000301945,0.000401095
1,Deaths,396,San Marino,SMR,3,Both,23,5-14 years,1990,420,Klebsiella pneumoniae,,1,Number,0.000348773,0.000263844,0.000454132
6,Incidence,44,Bosnia and Herzegovina,BIH,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000349535,0.000131031,0.000749872
1,Deaths,27,Samoa,WSM,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000351032,0.000177671,0.000594411
6,Incidence,95,United Kingdom,GBR,3,Both,24,15-49 years,2021,414,Acinetobacter baumannii,,2,Percent,0.000352388,0.00030466,0.000402496
6,Incidence,49,North Macedonia,MKD,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000353537,0.000132586,0.000757959
1,Deaths,105,Antigua and Barbuda,ATG,3,Both,23,5-14 years,2021,426,Polymicrobial,,1,Number,0.000355407,0.00022666,0.000533315
1,Deaths,367,Monaco,MCO,3,Both,23,5-14 years,2019,423,Mycoplasma,,1,Number,0.000355975,0.000261154,0.00046824
1,Deaths,396,San Marino,SMR,3,Both,23,5-14 years,1990,421,Legionella spp,,1,Number,0.000356717,0.000267166,0.000469448
1,Deaths,30,Vanuatu,VUT,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000357455,0.000180571,0.000593057
1,Deaths,30,Vanuatu,VUT,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000357455,0.000180571,0.000593057
1,Deaths,396,San Marino,SMR,3,Both,1,Under 5,1990,416,Enterobacter spp,,1,Number,0.000358479,0.000241374,0.000519611
1,Deaths,367,Monaco,MCO,3,Both,1,Under 5,2021,187,Influenza,,1,Number,0.000358614,0.000165528,0.00066428
1,Deaths,380,Palau,PLW,3,Both,23,5-14 years,2020,190,Respiratory syncytial virus,,1,Number,0.000362269,0.000249944,0.000513675
1,Deaths,396,San Marino,SMR,3,Both,23,5-14 years,1990,427,Pseudomonas aeruginosa,,1,Number,0.000364492,0.000275019,0.000476173
6,Incidence,48,Hungary,HUN,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.000364544,0.000140357,0.000779844
1,Deaths,17,Sri Lanka,LKA,3,Both,22,All Ages,2021,190,Respiratory syncytial virus,,2,Percent,0.000364961,7.56E-05,0.001119776
1,Deaths,74,Andorra,AND,3,Both,1,Under 5,2021,417,Escherichia coli,,1,Number,0.000365134,0.000204725,0.000548689
1,Deaths,26,Papua New Guinea,PNG,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.00036528,0.000184482,0.000603587
1,Deaths,26,Papua New Guinea,PNG,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.00036528,0.000184482,0.000603587
1,Deaths,367,Monaco,MCO,3,Both,23,5-14 years,2020,424,Other bacterial pathogen,,1,Number,0.000366049,0.000270119,0.000495293
6,Incidence,50,Montenegro,MNE,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.000366101,0.000140241,0.000778667
1,Deaths,23,Kiribati,KIR,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000367345,0.000185221,0.000606065
1,Deaths,23,Kiribati,KIR,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000367345,0.000185221,0.000606065
1,Deaths,29,Tonga,TON,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000367972,0.000186459,0.000623902
1,Deaths,393,Saint Kitts and Nevis,KNA,3,Both,23,5-14 years,2021,426,Polymicrobial,,1,Number,0.000369656,0.000227275,0.000590091
1,Deaths,95,United Kingdom,GBR,3,Both,24,15-49 years,1990,426,Polymicrobial,,2,Percent,0.000370387,0.00021782,0.000604657
1,Deaths,74,Andorra,AND,3,Both,23,5-14 years,2021,421,Legionella spp,,1,Number,0.00037113,0.000272581,0.000499221
6,Incidence,95,United Kingdom,GBR,3,Both,26,70+ years,2021,426,Polymicrobial,,2,Percent,0.000372634,0.000207662,0.000623432
1,Deaths,74,Andorra,AND,3,Both,23,5-14 years,1990,190,Respiratory syncytial virus,,1,Number,0.000374249,0.00026117,0.000512112
1,Deaths,74,Andorra,AND,3,Both,23,5-14 years,1990,418,Fungus,,1,Number,0.000374975,0.000259929,0.000508375
1,Deaths,67,Japan,JPN,3,Both,22,All Ages,2021,187,Influenza,,2,Percent,0.000376143,1.59E-05,0.002078932
1,Deaths,29,Tonga,TON,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,1,Number,0.000376342,0.00018019,0.000676924
1,Deaths,74,Andorra,AND,3,Both,23,5-14 years,2019,423,Mycoplasma,,1,Number,0.000376542,0.000281536,0.000490343
1,Deaths,416,Tuvalu,TUV,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,1,Number,0.000376837,0.000179266,0.000647767
1,Deaths,396,San Marino,SMR,3,Both,24,15-49 years,2021,416,Enterobacter spp,,1,Number,0.00037907,0.000181071,0.000597787
1,Deaths,127,El Salvador,SLV,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000380098,7.46E-05,0.001002964
1,Deaths,127,El Salvador,SLV,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000380098,7.46E-05,0.001002964
1,Deaths,105,Antigua and Barbuda,ATG,3,Both,23,5-14 years,1990,426,Polymicrobial,,1,Number,0.000381239,0.000250004,0.000573992
1,Deaths,20,Viet Nam,VNM,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.000381657,0.0001055,0.000879788
1,Deaths,67,Japan,JPN,3,Both,26,70+ years,2021,187,Influenza,,2,Percent,0.00038175,1.61E-05,0.002113374
6,Incidence,53,Serbia,SRB,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000383417,0.000143918,0.000822872
1,Deaths,367,Monaco,MCO,3,Both,23,5-14 years,2021,424,Other bacterial pathogen,,1,Number,0.00038364,0.000282093,0.000518778
6,Incidence,72,New Zealand,NZL,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000384607,0.000104868,0.000886335
6,Incidence,72,New Zealand,NZL,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000384607,0.000104868,0.000886335
1,Deaths,25,Micronesia (Federated States of),FSM,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,1,Number,0.000384702,0.000176668,0.000686212
1,Deaths,81,Germany,DEU,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000384855,0.000134158,0.00090066
1,Deaths,81,Germany,DEU,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000384855,0.000134158,0.00090066
6,Incidence,127,El Salvador,SLV,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,0.000385966,8.24E-05,0.000966373
1,Deaths,83,Iceland,ISL,3,Both,23,5-14 years,2019,415,Chlamydia spp,,1,Number,0.000386097,0.000317184,0.000455949
1,Deaths,126,Costa Rica,CRI,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000386485,0.000119239,0.000833712
1,Deaths,126,Costa Rica,CRI,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000386485,0.000119239,0.000833712
1,Deaths,58,Estonia,EST,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000387982,7.93E-05,0.001073123
1,Deaths,74,Andorra,AND,3,Both,1,Under 5,2021,419,Haemophilus influenzae,,1,Number,0.000389576,0.000219907,0.000575509
1,Deaths,396,San Marino,SMR,3,Both,24,15-49 years,2020,415,Chlamydia spp,,1,Number,0.00039046,0.000230405,0.000572885
1,Deaths,46,Croatia,HRV,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000390737,0.000144966,0.000843707
1,Deaths,46,Croatia,HRV,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,0.000390737,0.000144966,0.000843707
1,Deaths,74,Andorra,AND,3,Both,1,Under 5,2021,423,Mycoplasma,,1,Number,0.000391512,0.000223392,0.000576288
